,nom_ecole,geometry,note_vetuste,note_vetuste_count,note_encadrement,note_encadrement_count,note_climat,note_climat_count,note_cantine,note_cantine_count,note_abord_securise,note_abord_securise_count,ecole
78,Ecole élémentaire Bayard / Matabiau,POINT (1.447874234891523 43.611455868992536),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Bayard / Matabiau
79,Ecole élémentaire Borderouge,POINT (1.4546720113497 43.64137874214885),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Borderouge
80,Ecole élémentaire Bourliaguet Léonce,POINT (1.395521463840501 43.57745797477695),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Bourliaguet Léonce
81,Ecole élémentaire Buffon,POINT (1.411880036677417 43.564715898901234),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Buffon
82,Ecole élémentaire Cuvier,POINT (1.463909750331867 43.63663831098323),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Cuvier
83,Ecole élémentaire Daste André,POINT (1.438245588532522 43.58086103969841),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Daste André
84,Ecole élémentaire Daurat Didier,POINT (1.402424706396401 43.573573525468724),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Daurat Didier
85,Ecole élémentaire De Gaulle-Anthonioz,POINT (1.405592163711675 43.60097905948305),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire De Gaulle-Anthonioz
86,Ecole élémentaire Dupouy Gaston,POINT (1.380818574675497 43.58097452187184),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Dupouy Gaston
87,Ecole élémentaire Fabre,POINT (1.443661332446935 43.596082720571275),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Fabre
88,Ecole élémentaire Fénelon,POINT (1.453270152340353 43.64955839313029),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Fénelon
89,Ecole élémentaire Fourtanier Alexandre,POINT (1.450691517699377 43.603086387019566),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Fourtanier Alexandre
90,Ecole élémentaire Godolin Peire,POINT (1.416505699154057 43.598178948144074),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Godolin Peire
91,Ecole élémentaire Grand Selve,POINT (1.45028866824409 43.649329309557544),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Grand Selve
92,Ecole élémentaire Lagrange Léo,POINT (1.43696790184279 43.577278795810365),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Lagrange Léo
93,Ecole élémentaire Lakanal,POINT (1.438941952046282 43.60207218165571),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Lakanal
94,Ecole élémentaire Marengo-Périole,POINT (1.459675448284077 43.61755480952058),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Marengo-Périole
95,Ecole élémentaire Michelet,POINT (1.455926774126704 43.60320653608996),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Michelet
96,Ecole élémentaire Montaudran,POINT (1.484608156461926 43.57398647681282),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Montaudran
97,Ecole élémentaire Rangueil,POINT (1.46414732194384 43.57488314220735),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Rangueil
98,Ecole élémentaire Veil Simone,POINT (1.402669854061623 43.568305163770056),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Veil Simone
99,Ecole maternelle Aubrac Lucie,POINT (1.437289911688711 43.62875867889025),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Aubrac Lucie
100,Ecole maternelle Bert Paul,POINT (1.378266485298608 43.55966160414483),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Bert Paul
101,Ecole maternelle Billières Etienne,POINT (1.419235554335228 43.589167520753755),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Billières Etienne
102,Ecole maternelle Château de l'Hers,POINT (1.485383645981417 43.600667239802526),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Château de l'Hers
103,Ecole maternelle Daurat Didier,POINT (1.402548869137942 43.57356997581853),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Daurat Didier
104,Ecole maternelle Dauriac Sylvain,POINT (1.41357705802244 43.57825662714629),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Dauriac Sylvain
105,Ecole maternelle De Gaulle-Anthonioz,POINT (1.406358842538035 43.60095060698514),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle De Gaulle-Anthonioz
106,Ecole maternelle De Gouges Olympe,POINT (1.439761499442563 43.65416498570646),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle De Gouges Olympe
107,Ecole maternelle Faucher Daniel,POINT (1.405170392933944 43.572770173557274),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Faucher Daniel
108,Ecole maternelle Fleurance,POINT (1.369788295988318 43.60122328300854),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Fleurance
109,Ecole maternelle Fourtanier Alexandre,POINT (1.450708398439252 43.6030948504164),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Fourtanier Alexandre
110,Ecole maternelle Guillaumet Henri,POINT (1.488649762690443 43.5772548770016),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Guillaumet Henri
111,Ecole maternelle Jacquier Maurice,POINT (1.418074786091485 43.5756303762879),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Jacquier Maurice
112,Ecole maternelle Lakanal,POINT (1.44160428686729 43.60178388632296),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Lakanal
113,Ecole maternelle Lesseps Ferdinand De,POINT (1.383938985716098 43.57881006137101),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Lesseps Ferdinand De
114,Ecole maternelle Matabiau,POINT (1.447789456388862 43.6113402212568),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Matabiau
115,Ecole maternelle Michel Louise,POINT (1.414939196260395 43.58201153247744),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Michel Louise
116,Ecole maternelle Michoun B,POINT (1.467542881033459 43.62979117639697),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Michoun B
117,Ecole maternelle Pinhous (Les),POINT (1.398305427614694 43.560404263526195),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Pinhous (Les)
118,Ecole maternelle Saliège Jules-Géraud (ex Alphand),POINT (1.433820761793812 43.655130680213034),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Saliège Jules-Géraud (ex Alphand)
119,Ecole maternelle Sept Deniers,POINT (1.409096269760477 43.6163804025799),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Sept Deniers
120,Ecole maternelle Tabar,POINT (1.413696181163892 43.57038152083421),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Tabar
121,Ecole maternelle Tibaous (Les),POINT (1.38451317132242 43.55006992222422),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Tibaous (Les)
122,Ecole maternelle Triolet Elsa,POINT (1.394434690438584 43.57222203342783),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Triolet Elsa
123,Ecole maternelle Veil Simone,POINT (1.402636721279038 43.56833643961815),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Veil Simone
124,Ecole maternelle Vernant,POINT (1.457560343867078 43.549500157738464),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Vernant
125,Ecole maternelle Viollet-le-Duc,POINT (1.391952570126055 43.58135092910562),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Viollet-le-Duc
126,Ecole maternelle Bastide Georges 1,POINT (1.398507873652499 43.560671881434935),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Bastide Georges 1
